A000014,G000336,d,-1
A000014,L000371,c,-1
A000014,K000016,a,1
A000014,C000052,c,1
A000014,A000217,d,1
A000014,S000463,c,0.5
A000014,C000052,c,-1
A000014,D000492,d,-1
A000014,L000371,c,1
A000014,L000371,b,1
A000014,J000174,b,1
A000014,M000794,b,1
A000014,C000107,c,-1
A000014,W000672,c,0.5
A000014,S000463,c,0.5
A000014,L000371,b,1
A000014,J000174,b,1
A000014,M000794,b,1
A000014,D000299,d,-1
A000014,L000274,c,1
A000014,S000463,c,0.5
A000014,L000371,b,1
A000014,J000174,b,1
A000014,M000794,b,1
A000014,A000217,d,-1
A000014,L000321,d,-1
A000014,P000005,c,-1
A000014,T000074,d,0.5
A000014,M000477,d,-1
A000014,L000371,c,1
A000014,R000395,c,-1
A000014,B000589,d,0.5
A000014,K000016,c,-1
A000014,B000589,d,0.5
A000014,T000113,b,-1
A000014,B000617,b,-1
A000014,G000272,b,-1
A000014,S000583,b,-1
A000014,S000718,c,1
A000014,D000222,c,1
A000014,L000371,c,1
A000014,R000395,c,1
A000014,G000336,d,-1
A000014,M000350,c,1
A000014,L000321,d,-1
A000014,G000336,d,-1
A000014,S000718,c,1
A000014,D000222,c,1
A000014,B000589,d,0.5
A000014,B000589,d,0.5
A000014,H001015,c,1
A000014,W000790,d,1
A000014,M001130,c,1
A000014,T000188,d,1
A000014,D000492,d,-1
A000014,H000172,c,1
A000014,D000492,d,-1
A000014,K000016,a,-1
A000014,R000141,c,-1
A000014,G000336,d,1
A000014,R000141,c,1
A000014,L000371,c,1
A000014,L000274,c,1
A000014,S000718,c,1
A000014,D000222,c,1
A000014,D000492,d,-1
A000014,D000492,d,-1
A000014,M000684,c,1
A000014,D000492,d,-1
A000014,Y000033,c,1
A000014,M000843,c,0.5
A000014,S000394,c,0.5
A000014,W000790,d,-1
A000014,R000141,c,1
A000014,D000299,d,-1
A000014,P000005,c,-1
A000014,L000274,c,-1
A000014,L000371,b,-1
A000014,R000395,c,1
A000014,K000016,c,-1
A000014,A000215,c,-1
A000014,K000016,a,-1
A000014,L000321,d,-1
A000014,K000016,c,1
A000014,W000672,c,1
A000014,L000371,b,1
A000014,W000790,d,-1
A000014,A000215,c,1
A000014,D000492,d,-1
A000014,Y000033,c,1
A000014,L000321,d,-1
A000014,R000141,c,-1
A000014,W000672,c,0.5
