A000014,G000309,d,-1
A000014,G000272,c,1
A000014,B000318,d,1
A000014,D000267,d,1
A000014,D000267,d,1
A000014,F000392,d,1
A000014,B000880,a,1
A000014,F000392,d,1
A000014,H000074,d,1
A000014,D000267,d,1
A000014,F000270,d,1
A000014,D000429,d,1
A000014,G000153,c,-1
A000014,O000107,c,1
A000014,D000373,c,0.5
A000014,G000309,d,1
A000014,D000267,d,1
A000014,M001120,c,1
A000014,J000255,a,1
A000014,F000392,d,1
A000014,D000267,d,1
A000014,D000373,c,-1
A000014,B000431,c,1
A000014,I000025,e,1
A000014,A000069,e,1
A000014,T000162,c,-1
A000014,W000215,c,1
A000014,B000318,d,1
A000014,H000074,d,1
A000014,K000105,e,1
A000014,H000338,e,1
A000014,N000009,c,1
A000014,H000074,d,1
A000014,C000653,d,1
A000014,G000309,d,1
A000014,L000225,c,1
A000014,B000318,d,1
A000014,D000267,d,1
A000014,G000309,d,1
A000014,C000846,c,1
A000014,W000215,c,1
A000014,B000619,d,1
A000014,W000215,c,1
A000014,B000318,d,1
A000014,F000392,d,1
A000014,S000596,c,1
A000014,B000410,c,1
A000014,K000105,e,-1
A000014,H000338,e,-1
A000014,G000272,c,-1
A000014,D000267,d,1
A000014,D000267,d,1
A000014,D000222,c,1
A000014,N000147,c,1
A000014,D000267,d,1
A000014,B000619,d,1
A000014,B000431,c,1
A000014,G000272,c,1
A000014,D000267,d,1
A000014,M000432,d,1
A000014,G000309,d,1
A000014,B000468,e,1
A000014,D000407,e,1
A000014,W000215,c,1
A000014,S000148,c,1
A000014,H000930,c,1
A000014,G000309,d,1
A000014,D000267,d,1
A000014,H000074,d,1
A000014,O000007,c,1
A000014,S000596,c,1
A000014,O000001,c,1
A000014,D000373,c,1
A000014,B000431,c,-1
A000014,F000053,c,1
A000014,B000431,c,1
A000014,O000007,c,1
A000014,F000053,c,1
A000014,D000267,d,1
A000014,F000392,d,1
A000014,D000267,d,1
A000014,B000619,d,1
A000014,S000596,c,1
A000014,B000318,d,0.5
A000014,D000267,d,1
A000014,F000339,c,-1
A000014,K000105,e,1
A000014,H000338,e,1
A000014,D000267,d,1
A000014,N000009,c,1
